id,national_code,title,tga_status,state_code,nominal_hours
74,BSBCNV504,Prepare legal documents,Current,AUK10,70
75,BSBCNV505,Finalise the conveyancing transaction,Current,AUL38,40
76,BSBCNV506,Establish and manage a trust account,Current,AUL19,40
77,BSBCNV601,Identify and conduct searches,Current,AUM08,40
78,BSBCOM401,Organise and monitor the operation of compliance management system,Current,AUK64,40
79,BSBCOM402,Implement processes for the management of a breach in compliance requirements,Current,AUH08,40
80,BSBCOM403,Provide education and training on compliance requirements and systems,Current,AUL67,40
81,BSBCOM404,"Promote and liaise on compliance requirements, systems and related issues",Current,AUJ15,50
82,BSBCOM405,Promote compliance with legislation,Current,AUL55,30
83,BSBCOM406,Conduct work within a compliance framework,Current,AUL98,30
84,BSBCOM501,Identify and interpret compliance requirements,Current,AUH23,20
85,BSBCOM502,Evaluate and review compliance,Current,AUM09,25
86,BSBCOM503,Develop processes for the management of breaches in compliance requirements,Current,AUJ05,30
87,BSBCOM601,Research compliance requirements and issues,Current,AUI41,50
88,BSBCOM602,Develop and create compliance requirements,Current,AUJ30,50
89,BSBCOM603,Plan and establish compliance management systems,Current,AUJ27,50
90,BSBCON401,Work effectively in a business continuity context,Current,AUM16,30
91,BSBCON601,Develop and maintain business continuity plans,Current,AUH02,50
92,BSBCON801,Establish and review the business continuity management framework and strategies,Current,AUL73,70
93,BSBCRT101,Apply critical thinking techniques,Current,AUL47,20
94,BSBCRT301,Develop and extend critical and creative thinking skills,Current,AUL43,40
95,BSBCRT401,"Articulate, present and debate ideas",Current,AUM24,40
96,BSBCRT402,Collaborate in a creative process,Current,AUK85,40
97,BSBCRT403,Explore the history and social impact of creativity,Current,AUH56,50
98,BSBCRT501,Originate and develop concepts,Current,AUI70,30
99,BSBCRT601,Research and apply concepts and theories of creativity,Current,AUI42,65
100,BSBCUE203,Conduct customer engagement,Current,AUJ37,100
101,BSBCUE204,Collect data,Current,AUI20,40
102,BSBCUE205,Prepare for work in a customer engagement environment,Current,AUI19,40
103,BSBCUE301,Use multiple information systems,Current,AUL27,40
104,BSBCUE302,Deploy customer service field staff,Current,AUI82,25
105,BSBCUE303,Conduct a telemarketing campaign,Current,AUJ62,40
106,BSBCUE304,Provide sales solutions to customers,Current,AUH95,40
107,BSBCUE305,Process credit applications,Current,AUK30,40
108,BSBCUE306,Process complex accounts,Current,AUM28,40
109,BSBCUE307,Work effectively in customer engagement,Current,AUL33,35
110,BSBCUE308,Conduct outbound customer engagement,Current,AUK75,20
111,BSBCUE309,Develop product and service knowledge for customer engagement operation,Current,AUH51,30
112,BSBCUE403,Schedule customer engagement activity,Current,AUH12,20
113,BSBCUE404,"Collect, analyse and record information",Current,AUK82,40
114,BSBCUE405,Survey stakeholders to gather and record information,Current,AUH26,40
115,BSBCUE406,Run a multicentre,Current,AUL37,50
116,BSBCUE407,Administer customer engagement technology,Current,AUJ45,25
117,BSBCUE501,Develop business continuity strategy,Current,AUJ39,130
118,BSBCUE502,Establish a multicentre,Current,AUM19,40
119,BSBCUE503,Manage data interrogation,Current,AUJ40,35
120,BSBCUE504,Integrate customer engagement within the organisation,Current,AUH77,80
121,BSBCUE601,Optimise customer engagement operations,Current,AUM26,80
122,BSBCUE602,Manage customer engagement information,Current,AUL94,80
123,BSBCUE603,Design and launch new customer engagement facilities,Current,AUI95,80
124,BSBCUE604,Develop and maintain a service level strategy,Current,AUH62,80
125,BSBCUE605,Develop and maintain a customer engagement marketing strategy,Current,AUL06,80
126,BSBCUE606,Forecast and plan using customer engagement traffic information analysis,Current,AUM54,80
127,BSBCUE607,Manage customer engagement centre staffing,Current,AUI72,80
128,BSBCUE608,Manage customer engagement operational costs,Current,AUJ67,80
129,BSBCUS201,Deliver a service to customers,Current,AUK74,40
130,BSBCUS301,Deliver and monitor a service to customers,Current,AUM29,40
131,BSBCUS401,Coordinate implementation of customer service strategies,Current,AUK67,30
132,BSBCUS402,Address customer needs,Current,AUH55,30
133,BSBCUS403,Implement customer service standards,Current,AUL59,30
134,BSBCUS501,Manage quality customer service,Current,AUM47,50
135,BSBDES201,Follow a design process,Current,AUL88,40
136,BSBDES202,Evaluate the nature of design in a specific industry context,Current,AUJ72,30
137,BSBDES301,Explore the use of colour,Current,AUL40,40
138,BSBDES302,Explore and apply the creative design process to 2D forms,Current,AUJ90,50
139,BSBDES303,Explore and apply the creative design process to 3D forms,Current,AUI55,50
140,BSBDES304,Source and apply design industry knowledge,Current,AUJ59,20
141,BSBDES305,Source and apply information on the history and theory of design,Current,AUK43,65
142,BSBDES401,Generate design solutions,Current,AUJ94,60
143,BSBDES402,Interpret and respond to a design brief,Current,AUH07,20
144,BSBDES403,Develop and extend design skills and practice,Current,AUL36,30
145,BSBDES501,Implement design solutions,Current,AUK32,60
146,BSBDES502,"Establish, negotiate and refine a design brief",Current,AUM32,65
147,BSBDES601,Manage design realisation,Current,AUH06,50
148,BSBDES602,Research global design trends,Current,AUI31,30
149,BSBDES801,Research and apply design theory,Current,AUI51,40
150,BSBDIV301,Work effectively with diversity,Current,AUI02,20
151,BSBDIV501,Manage diversity in the workplace,Current,AUL28,20
152,BSBDIV601,Develop and implement diversity policy,Current,AUM31,40
153,BSBDIV801,Conduct strategic diversity workforce planning,Current,AUK87,70
154,BSBDIV802,Conduct strategic planning for diversity learning practices,Current,AUJ79,70
155,BSBDIV803,Develop cross cultural communication and negotiation strategies,Current,AUI97,80
156,BSBEBU401,Review and maintain a website,Current,AUL60,60
157,BSBEBU501,Investigate and design e-business solutions,Current,AUL65,50
158,BSBEBU502,Implement e-business solutions,Current,AUL05,20
159,BSBEDU301,Assist with monitoring compliance in international education services,Current,AUI08,50
160,BSBEDU302,Assist in resolution of issues and incidents in an international education environment,Current,AUL13,50
161,BSBEDU303,Assist with the provision of international education information,Current,AUI62,30
162,BSBEDU304,Assist with the provision of pastoral care services to international students,Current,AUJ01,30
163,BSBEDU305,Assist with international education events and programs,Current,AUK45,50
164,BSBEMS401,Develop and implement business development strategies to expand client base,Current,AUL66,40
165,BSBEMS402,Develop and implement strategies to source and assess candidates,Current,AUJ87,40
166,BSBEMS403,Develop and provide employment management services to candidates,Current,AUL87,40
167,BSBEMS404,Manage the recruitment process for client organisations,Current,Aug-98,50
168,BSBFIA301,Maintain financial records,Current,AUK66,60
169,BSBFIA302,Process payroll,Current,AUK24,30
170,BSBFIA303,Process accounts payable and receivable,Current,AUL92,40
171,BSBFIA304,Maintain a general ledger,Current,AUH82,40
172,BSBFIA401,Prepare financial reports,Current,AUK70,40
173,BSBFIA402,Report on financial activity,Current,AUH67,40
174,BSBFIA501,Report on finances related to international business,Current,AUK90,50
175,BSBFIM501,Manage budgets and financial plans,Current,AUH01,50
176,BSBFIM502,Manage payroll,Current,AUK52,50
177,BSBFIM601,Manage finances,Current,AUM25,80
178,BSBFIM801,Manage financial resources,Current,AUL78,80
179,BSBFLM303,Contribute to effective workplace relationships,Current,AUI32,30
180,BSBFLM305,Support operational plan,Current,AUL72,40
181,BSBFLM306,Provide workplace information and resourcing plans,Current,AUI34,40
182,BSBFLM309,Support continuous improvement systems and processes,Current,AUJ78,30
183,BSBFLM311,Support a workplace learning environment,Current,AUH15,30
184,BSBFLM312,Contribute to team effectiveness,Current,AUI54,30
185,BSBFLM313,"Apply language, literacy and numeracy to support others in the workplace",Current,AUK23,25
186,BSBFLM314,"Mentor others in the workplace to support their language, literacy and numeracy skill development",Current,AUJ92,25
187,BSBFRA301,Work within a franchise,Current,AUL63,30
188,BSBFRA401,Manage compliance with franchisee obligations and legislative requirements,Current,AUK36,40
189,BSBFRA402,Establish a franchise,Current,AUJ63,50
190,BSBFRA403,Manage relationship with franchisor,Current,AUL14,40
191,BSBFRA404,Manage a multiple-site franchise,Current,AUJ07,50
192,BSBFRA501,Establish a franchise operation,Current,AUK19,50
193,BSBFRA502,Manage a franchise operation,Current,AUL23,40
194,BSBFRA503,Manage establishment of new sites or regions,Current,AUK83,50
195,BSBFRA504,Manage relationships with franchisees,Current,AUH00,40
196,BSBFRA505,Manage closure of a franchise,Current,AUM07,70
197,BSBGOV401,Implement board member responsibilities,Current,AUJ91,40
198,BSBGOV402,Work within organisational structure,Current,AUH60,40
199,BSBGOV403,Analyse financial reports and budgets,Current,AUK48,50
200,BSBGOV404,Communicate with community stakeholders,Current,AWG31,35
201,BSBGOV405,Undertake the roles and responsibilities of committee or board members,Current,AWG29,35
202,BSBGOV501,Review and apply the organisation's constitution,Current,AWG30,25
203,BSBGOV502,Recruit and coordinate committee members,Current,AWG28,25
204,BSBGOV503,Conduct organisational strategic planning,Current,AWG26,70
205,BSBGOV504,Monitor organisational finances,Current,AWG27,70
206,BSBGOV505,Seek and apply for funding opportunities,Current,AWG25,45
207,BSBGOV506,Manage advocacy for your organisation,Current,AWG24,25
208,BSBGOV507,Manage board or committee and organisational conflict,Current,AWG23,45
209,BSBHRM403,Support performance management process,Current,AUJ49,40
210,BSBHRM404,Review human resource functions,Current,AUI11,40
211,BSBHRM405,"Support the recruitment, selection and induction of staff",Current,AUK08,45
212,BSBHRM501,Manage human resource services,Current,AUJ52,60
213,BSBHRM502,Manage human resource management information systems,Current,AUM49,60
214,BSBHRM505,Manage remuneration and employee benefits,Current,AUK49,60
215,BSBHRM506,Manage recruitment selection and induction processes,Current,AUL50,60
216,BSBHRM507,Manage separation or termination,Current,AUI17,60
217,BSBHRM509,Manage rehabilitation or return to work programs,Current,AUL75,30
218,BSBHRM510,Manage mediation processes,Current,AUH59,60
219,BSBHRM511,Manage expatriate staff,Current,AUJ61,40
220,BSBHRM512,Develop and manage performance management processes,Current,AUI48,60
221,BSBHRM513,Manage workforce planning,Current,AUK95,60
222,BSBHRM602,Manage human resources strategic planning,Current,AUI98,40
223,BSBHRM604,Manage employee relations,Current,AUK44,60
224,BSBIND201,Work effectively in a business environment,Current,AUJ42,20
225,BSBIND301,Work effectively in an educational environment,Current,AUK18,40
226,BSBIND302,Work effectively in the international education services industry,Current,AUK54,50
227,BSBINM201,Process and maintain workplace information,Current,AUI81,20
228,BSBINM202,Handle mail,Current,AUK81,15
229,BSBINM301,Organise workplace information,Current,AUH34,20
230,BSBINM302,Utilise a knowledge management system,Current,AUK86,20
231,BSBINM303,Handle receipt and despatch of information,Current,AUJ58,20
232,BSBINM401,Implement workplace information system,Current,AUI60,40
233,BSBINM501,Manage an information or knowledge management system,Current,AUJ29,40
234,BSBINM601,Manage knowledge and information,Current,AUK56,60
235,BSBINN201,Contribute to workplace innovation,Current,AUI88,20
236,BSBINN301,Promote innovation in a team environment,Current,AUL02,30
237,BSBINN501,Establish systems that support innovation,Current,AUH52,50
238,BSBINN502,Build and sustain an innovative work environment,Current,AUK09,50
239,BSBINN601,Lead and manage organisational change,Current,AUI47,30
240,BSBINN801,Lead innovative thinking and practice,Current,AUL80,80
241,BSBINT301,Apply knowledge of the international trade environment to complete work,Current,AUI06,30
242,BSBINT302,Apply knowledge of legislation relevant to international trade to complete work,Current,AUK79,30
243,BSBINT303,Organise the importing and exporting of goods,Current,AUJ26,40
244,BSBINT304,Assist in the international transfer of services,Current,AUH21,20
245,BSBINT305,Prepare business documents for the international trade of goods,Current,AUM37,40
246,BSBINT306,Apply knowledge of international finance and insurance to complete work requirements,Current,AUK15,40
247,BSBINT401,Research international business opportunities,Current,AUL42,40
248,BSBINT405,"Apply knowledge of import and export international conventions, laws and finance",Current,AUI39,50
249,BSBINT407,Prepare business advice on export Free-on-Board Value,Current,AUM44,30
250,BSBINT408,Prepare business advice on the taxes and duties for international trade transactions,Current,AUL54,40
251,BSBINT409,Plan for international trade,Current,AUJ97,50
252,BSBIPR301,Comply with organisational requirements for protection and use of intellectual property,Current,AUM36,30
253,BSBIPR401,Use and respect copyright,Current,AUL07,40
254,BSBIPR402,Protect and use new inventions and innovations,Current,AUH41,30
255,BSBIPR403,Protect and use brands and business identity,Current,AUJ34,30
256,BSBIPR404,Protect and use innovative designs,Current,AUJ20,30
257,BSBIPR405,Protect and use intangible assets in small business,Current,AUJ46,40
258,BSBIPR501,Manage intellectual property to protect and grow business,Current,AUI50,50
259,BSBIPR601,Develop and implement strategies for intellectual property management,Current,AUM11,60
260,BSBITA401,Design databases,Current,AUI22,30
261,BSBITA601,Configure and optimise customer contact technology,Current,AUK17,80
262,BSBITB501,Establish and maintain a workgroup computer network,Current,AUL49,50
263,BSBITB801,Implement advanced electronic technologies,Current,AUH88,80
264,BSBITS401,Maintain business technology,Current,AUM04,30
265,BSBITU101,Operate a personal computer,Current,AUL79,20
266,BSBITU102,Develop keyboard skills,Current,AUJ98,40
267,BSBITU201,Produce simple word processed documents,Current,AUL70,40
268,BSBITU202,Create and use spreadsheets,Current,AUI53,20
269,BSBITU203,Communicate electronically,Current,AUI87,20
270,BSBITU301,Create and use databases,Current,AUI28,20
271,BSBITU302,Create electronic presentations,Current,AUK07,20
272,BSBITU303,Design and produce text documents,Current,AUM45,50
273,BSBITU304,Produce spreadsheets,Current,AUL91,25
274,BSBITU305,Conduct online transactions,Current,AUK06,20
275,BSBITU306,Design and produce business documents,Current,AUJ88,60
276,BSBITU307,Develop keyboarding speed and accuracy,Current,AUK03,40
277,BSBITU309,Produce desktop published documents,Current,AUJ48,50
278,BSBITU401,Design and develop complex text documents,Current,AUK26,70
279,BSBITU402,Develop and use complex spreadsheets,Current,AUH20,60
280,BSBITU404,Produce complex desktop published documents,Current,AUJ10,50
281,BSBLDR401,Communicate effectively as a workplace leader,Current,AUK38,35
282,BSBLDR402,Lead effective workplace relationships,Current,AUM06,40
283,BSBLDR403,Lead team effectiveness,Current,AUI57,40
284,BSBLDR404,Lead a diverse workforce,Current,AUI12,45
285,BSBLDR501,Develop and use emotional intelligence,Current,AUJ41,55
286,BSBLDR502,Lead and manage effective workplace relationships,Current,AUI26,45
287,BSBLDR503,Communicate with influence,Current,AUJ82,55
288,BSBLDR504,Implement diversity in the workplace ,Current,AUL76,55
289,BSBLDR801,Lead personal and strategic transformation,Current,AUH18,80
290,BSBLDR802,Lead the strategic planning process for an organisation,Current,AUM35,90
291,BSBLDR803,Develop and cultivate collaborative partnerships and relationships,Current,AUH61,40
292,BSBLDR804,Influence and shape diversity management,Current,AUK22,70
293,BSBLDR805,Lead and influence change,Current,AUI46,70
294,BSBLDR806,Lead and influence ethical practice,Current,AUL83,70
295,BSBLED101,Plan skills development,Current,AUJ65,20
296,BSBLED301,Undertake e-learning,Current,AUK72,40
297,BSBLED401,Develop teams and individuals,Current,AUL82,40
298,BSBLED501,Develop a workplace learning environment,Current,AUL89,50
299,BSBLED502,Manage programs that promote personal effectiveness,Current,AUK65,50
300,BSBLED503,Maintain and enhance professional practice,Current,Aug-95,30
301,BSBLED802,Lead learning strategy implementation,Current,AUL29,80
302,BSBLED803,Implement improved learning practice,Current,AUH04,60
303,BSBLED804,Review enterprise e-learning systems and solutions implementation,Current,AUJ36,80
304,BSBLED805,Plan and implement a mentoring program,Current,AUJ70,80
305,BSBLED806,Plan and implement a coaching strategy,Current,AUI89,60
306,BSBLED807,Establish career development services,Current,AUM50,80
307,BSBLED808,Conduct a career development session,Current,AUI05,50
308,BSBLED809,Identify and communicate trends in career development,Current,AUI80,60
309,BSBLED810,Develop human capital,Current,AUK00,80
310,BSBLEG301,Apply knowledge of the legal system to complete tasks,Current,AUK41,60
311,BSBLEG302,Carry out search of the public record,Current,AUI37,20
312,BSBLEG303,Deliver court documentation,Current,AUH28,10
313,BSBLEG304,Apply the principles of confidentiality and security within the legal environment,Current,AUH43,10
314,BSBLEG305,Use legal terminology in order to carry out tasks,Current,AUJ25,40
315,BSBLEG306,Maintain records for time and disbursements in a legal practice,Current,AUI16,10
316,BSBLEG308,Assist in prioritising and planning activities in a legal practice,Current,AUH63,10
317,BSBLEG403,Maintain trust accounts,Current,AUI73,50
318,BSBLEG413,Identify and apply the legal framework,Current,AUJ43,50
319,BSBLEG414,Establish and maintain a file in legal services,Current,AUK55,50
320,BSBLEG415,Apply the principles of contract law,Current,AUI21,60
321,BSBLEG416,Apply the principles of the law of torts,Current,AUH74,60
322,BSBLEG417,Apply the principles of evidence law,Current,AUK51,60
323,BSBLEG418,Produce complex legal documents,Current,AUI27,80
324,BSBLEG510,Apply legal principles in family law matters,Current,AUL77,60
325,BSBLEG511,Apply legal principles in criminal law matters,Current,AUJ83,60
326,BSBLEG512,Apply legal principles in property law matters,Current,AUL00,60
327,BSBLEG513,Apply legal principles in corporation law matters,Current,AUJ93,60
328,BSBLEG514,Assist with civil procedure,Current,AUJ08,60
329,BSBLEG515,Apply legal principles in wills and probate matters,Current,AUK05,60
330,BSBLIB201,Assist with circulation services,Current,AWG22,50
331,BSBLIB202,Process information resource orders,Current,AWG21,50
332,BSBLIB301,Catalogue objects into collections,Current,AWG20,80
333,BSBLIB302,Develop and apply knowledge of archives,Current,AWG19,60
334,BSBLIB303,Provide multimedia support,Current,AWG18,50
335,BSBLIB304,Develop and use information literacy skills,Current,AWG16,60
336,BSBLIB305,Use established cataloguing tools,Current,AWG17,50
337,BSBLIB306,Process and maintain information resources,Current,AWG15,50
338,BSBLIB401,Record and maintain collection information,Current,AWG14,50
339,BSBLIB402,Consolidate and maintain industry knowledge,Current,AWG13,60
340,BSBLIB403,Complete a range of cataloguing activities,Current,AWG12,100
341,BSBLIB404,Use integrated library management systems,Current,AWG11,30
342,BSBLIB405,Assist customers to access information,Current,AWG10,60
343,BSBLIB406,Obtain information from external and networked sources,Current,AWG09,60
344,BSBLIB407,Search library and information databases,Current,AWG08,50
345,BSBLIB501,Manage lending and borrowing processes for collections,Current,AWG07,30
346,BSBLIB502,Manage the development of collections,Current,AWG05,50
347,BSBLIB503,"Develop and promote activities, events and public programs",Current,AWG04,60
348,BSBLIB504,Develop exhibition concepts,Current,AWG06,80
349,BSBLIB505,Develop disaster management plans,Current,AWG03,40
350,BSBLIB506,Maintain digital repositories,Current,AWG02,50
351,BSBLIB507,Promote literature and reading,Current,AWG00,30
352,BSBLIB508,Analyse and describe information resources,Current,AWG01,100
353,BSBLIB509,Provide subject access and classify material,Current,AWF99,100
354,BSBLIB510,Use and monitor advanced functions of integrated library management systems,Current,AWF98,100
355,BSBLIB511,Research and analyse information to meet customer needs,Current,AWF96,60
356,BSBLIB512,Develop and maintain community and stakeholder relationships,Current,AWF97,100
357,BSBLIB513,Monitor compliance with copyright and licence requirements,Current,AWF93,40
358,BSBLIB601,Research and document collection material,Current,AWF94,60
359,BSBLIB602,Develop and monitor procedures for the movement and storage of collection material,Current,AWF95,60
360,BSBLIB603,Contribute to collection management,Current,AWF92,100
361,BSBLIB604,Extend own information literacy skills to locate information,Current,AWF91,100
362,BSBLIB605,Analyse and describe specialist and complex material,Current,AWF90,100
363,BSBMED301,Interpret and apply medical terminology appropriately,Current,AUK35,40
364,BSBMED302,Prepare and process medical accounts,Current,AUH49,40
365,BSBMED303,Maintain patient records,Current,AUI77,40
366,BSBMED304,Assist in controlling stocks and supplies,Current,AUM21,20
367,BSBMED305,"Apply the principles of confidentiality, privacy and security within the medical environment",Current,AUM43,10
368,BSBMED401,Manage patient recordkeeping system,Current,AUJ06,40
369,BSBMGT401,Show leadership in the workplace,Current,AUK93,50
370,BSBMGT402,Implement operational plan,Current,AUI61,50
371,BSBMGT403,Implement continuous improvement,Current,AUK47,50
372,BSBMGT404,Lead and facilitate off-site staff,Current,AUM03,40
373,BSBMGT405,Provide personal leadership,Current,AUI75,50
374,BSBMGT406,Plan and monitor continuous improvement,Current,AUI85,40
375,BSBMGT407,Apply digital solutions to work processes,Current,AUK12,45
376,BSBMGT502,Manage people performance,Current,AUI44,50
377,BSBMGT516,Facilitate continuous improvement,Current,AUL24,50
378,BSBMGT517,Manage operational plan,Current,AUJ03,50
379,BSBMGT518,Develop organisation policy,Current,AUM22,55
380,BSBMGT519,Incorporate digital solutions into plans and practices,Current,AUM12,55
381,BSBMGT520,Plan and manage the flexible workforce,Current,AUL68,55
382,BSBMGT521,"Plan, implement and review a quality assurance program",Current,AUI49,65
383,BSBMGT605,Provide leadership across the organisation,Current,Aug-94,60
384,BSBMGT608,Manage innovation and continuous improvement,Current,AUH42,60
385,BSBMGT615,Contribute to organisation development,Current,AUL21,60
386,BSBMGT616,Develop and implement strategic plans,Current,AUL97,60
387,BSBMGT617,Develop and implement a business plan,Current,AUK16,60
388,BSBMGT618,Develop an engagement centre business plan,Current,AUI43,80
389,BSBMGT619,Identify and implement business innovation,Current,AUK34,70
390,BSBMGT621,Design and manage the enterprise quality management system,Current,AUM14,70
391,BSBMGT622,Manage resources,Current,AUK80,70
392,BSBMGT623,Monitor corporate governance activities,Current,AUJ64,45
393,BSBMGT624,Develop and implement corporate social responsibility,Current,AUH66,45
394,BSBMGT801,Direct the development of a knowledge management strategy for a business,Current,AUK42,70
395,BSBMGT802,Lead design and review of enterprise systems,Current,AUH44,65
396,BSBMGT803,Use financial and economic information for strategic decision making,Current,AUH83,90
397,BSBMKG401,Profile the market,Current,AUH38,40
398,BSBMKG408,Conduct market research,Current,AUK63,50
399,BSBMKG409,Design direct response offers,Current,AUL58,60
400,BSBMKG410,Test direct marketing activities,Current,AUL41,30
401,BSBMKG411,Analyse direct marketing databases,Current,AUL53,50
402,BSBMKG412,Conduct e-marketing communications,Current,AUH33,50
403,BSBMKG413,Promote products and services,Current,AUM05,20
404,BSBMKG414,Undertake marketing activities,Current,AUM20,40
405,BSBMKG415,Research international markets,Current,AUK96,40
406,BSBMKG416,Market goods and services internationally,Current,AUH14,50
407,BSBMKG417,Apply marketing communication across a convergent industry,Current,AWF89,65
408,BSBMKG418,Develop and apply knowledge of marketing communication industry,Current,AWF87,35
409,BSBMKG419,Analyse consumer behaviour,Current,AWF88,55
410,BSBMKG420,Create digital media user experiences,Current,AWF86,55
411,BSBMKG421,Optimise digital media impact,Current,AWF85,45
412,BSBMKG501,Identify and evaluate marketing opportunities,Current,AUI00,50
413,BSBMKG502,Establish and adjust the marketing mix,Current,AUL84,50
414,BSBMKG506,Plan market research,Current,AUH85,50
415,BSBMKG507,Interpret market trends and developments,Current,AUM46,50
416,BSBMKG508,Plan direct marketing activities,Current,AUM10,50
417,BSBMKG509,Implement and monitor direct marketing activities,Current,AUJ14,40
418,BSBMKG510,Plan e-marketing communications,Current,AUL52,50
419,BSBMKG511,Analyse data from international markets,Current,AUJ74,50
420,BSBMKG512,Forecast international market and business needs,Current,AUJ24,50
421,BSBMKG513,Promote products and services to international markets,Current,AUL16,50
422,BSBMKG514,Implement and monitor marketing activities,Current,AUH48,40
423,BSBMKG515,Conduct a marketing audit,Current,AUH97,40
424,BSBMKG516,Profile international markets,Current,AUK01,50
425,BSBMKG517,Analyse consumer behaviour for specific international markets,Current,AUJ95,50
426,BSBMKG518,Plan and implement services marketing,Current,AUI45,40
427,BSBMKG519,Plan and implement business-to-business marketing,Current,AUI13,40
428,BSBMKG520,Manage compliance within the marketing legislative framework,Current,AUJ53,50
429,BSBMKG521,Plan and implement sponsorship and event marketing,Current,AUM51,50
430,BSBMKG522,Plan measurement of marketing effectiveness,Current,AUJ04,40
431,BSBMKG523,Design and develop an integrated marketing communication plan,Current,AUJ17,80
432,BSBMKG524,Design effective user experiences,Current,AWF84,35
433,BSBMKG525,Design effective web search responses,Current,AWF82,45
